Seed,Solucion Empleada,Problema,Tiempo,Nodos
4,Hill-climbing-parallel,ex2_1_8,6.04554300001,1386
5,Hill-climbing-parallel,ex2_1_8,7.30343700001,1648
1,Hill-climbing-parallel,launch,2.87944900001,286
2,Hill-climbing-parallel,launch,4.51249000001,436
3,Hill-climbing-parallel,launch,2.85541100001,208
4,Hill-climbing-parallel,launch,3.94585800001,306
5,Hill-climbing-parallel,launch,2.12410600001,124
1,Hill-climbing-parallel,"hs088
",54.8553100001,1356
2,Hill-climbing-parallel,"hs088
",51.6217470001,1296
3,Hill-climbing-parallel,"hs088
",55.9261890001,1338
4,Hill-climbing-parallel,"hs088
",53.4704000001,1274
5,Hill-climbing-parallel,"hs088
",57.1746660001,1282
1,Hill-climbing-parallel,"hs093
",361.846077001,449668
2,Hill-climbing-parallel,"hs093
",366.100123001,454760
3,Hill-climbing-parallel,"hs093
",328.688753001,403310
4,Hill-climbing-parallel,"hs093
",356.352263001,450328
5,Hill-climbing-parallel,"hs093
",355.664235001,446300
1,Hill-climbing-parallel,"hs102
",1379.07535201,890256
2,Hill-climbing-parallel,"hs102
",2129.97336401,931428
3,Hill-climbing-parallel,"hs102
",2355.87366601,903934
4,Hill-climbing-parallel,"hs102
",2190.87005601,909080
5,Hill-climbing-parallel,"hs102
",2247.60808601,909888
1,Hill-climbing-parallel,"hs103
",679.971646001,252312
2,Hill-climbing-parallel,"hs103
",718.983327001,285034
3,Hill-climbing-parallel,"hs103
",692.901861001,263744
4,Hill-climbing-parallel,"hs103
",692.143471001,260728
5,Hill-climbing-parallel,"hs103
",707.553438001,267268
1,Hill-climbing-parallel,"hs108
",108.053785001,34820
2,Hill-climbing-parallel,"hs108
",110.826978001,37238
3,Hill-climbing-parallel,"hs108
",121.279892001,34258
4,Hill-climbing-parallel,"hs108
",129.466065001,39480
5,Hill-climbing-parallel,"hs108
",112.621173001,37174
1,Hill-climbing-parallel,"hs113
",13.9401930001,2932
2,Hill-climbing-parallel,"hs113
",14.8313260001,2990
3,Hill-climbing-parallel,"hs113
",9.88504000001,3066
4,Hill-climbing-parallel,"hs113
",10.3100250001,3058
5,Hill-climbing-parallel,"hs113
",11.9185230001,3332
1,Hill-climbing-parallel,"dualc5
",99.5277890001,54114
2,Hill-climbing-parallel,"dualc5
",105.420303001,55166
3,Hill-climbing-parallel,"dualc5
",105.899556001,54750
4,Hill-climbing-parallel,"dualc5
",105.713080001,55408
5,Hill-climbing-parallel,"dualc5
",101.094618001,53906
1,Hill-climbing-parallel,"dualc8
",500.536540001,189176
2,Hill-climbing-parallel,"dualc8
",457.835036001,188576
3,Hill-climbing-parallel,"dualc8
",460.322570001,190094
4,Hill-climbing-parallel,"dualc8
",421.171705001,186728
5,Hill-climbing-parallel,"dualc8
",509.350534001,185376
1,Hill-climbing-parallel,"mistake
",1339.04667301,386120
2,Hill-climbing-parallel,"mistake
",1327.96211801,420772
