Seed,Solucion Empleada,Problema,Tiempo,Nodos
5,Simulated-annealing,"hs088
",122.919327001,1270
1,Simulated-annealing,"hs093
",437.296971001,448922
2,Simulated-annealing,"hs093
",414.143365001,406696
3,Simulated-annealing,"hs093
",413.642241001,406680
4,Simulated-annealing,"hs093
",408.463914001,401154
5,Simulated-annealing,"hs093
",399.883175001,393182
1,Simulated-annealing,"hs102
",2499.78978201,1061762
2,Simulated-annealing,"hs102
",2543.95862301,1091130
3,Simulated-annealing,"hs102
",2468.72163601,1037160
4,Simulated-annealing,"hs102
",2521.43044201,1060060
5,Simulated-annealing,"hs102
",2311.11720501,1042974
1,Simulated-annealing,"hs103
",658.446544001,273928
2,Simulated-annealing,"hs103
",665.195404001,281094
3,Simulated-annealing,"hs103
",679.221527001,283906
4,Simulated-annealing,"hs103
",646.609251001,269844
5,Simulated-annealing,"hs103
",648.085954001,266950
1,Simulated-annealing,"hs108
",131.595668001,53782
2,Simulated-annealing,"hs108
",137.486298001,53416
3,Simulated-annealing,"hs108
",148.338571001,62652
4,Simulated-annealing,"hs108
",98.0551740001,42150
5,Simulated-annealing,"hs108
",148.772854001,60488
1,Simulated-annealing,"hs113
",14.8277990001,5536
2,Simulated-annealing,"hs113
",13.7282360001,5806
3,Simulated-annealing,"hs113
",13.0144290001,5480
4,Simulated-annealing,"hs113
",13.0577540001,5210
5,Simulated-annealing,"hs113
",14.9109660001,6142
1,Simulated-annealing,"dualc5
",74.4501970001,55148
2,Simulated-annealing,"dualc5
",72.9104490001,54840
3,Simulated-annealing,"dualc5
",74.1859810001,54840
4,Simulated-annealing,"dualc5
",72.9299380001,54840
5,Simulated-annealing,"dualc5
",75.4443240001,55274
1,Simulated-annealing,"dualc8
",304.817658001,187962
2,Simulated-annealing,"dualc8
",304.055399001,187556
3,Simulated-annealing,"dualc8
",307.052895001,189500
4,Simulated-annealing,"dualc8
",307.537169001,186686
5,Simulated-annealing,"dualc8
",307.287413001,188942
