Seed,Solucion Empleada,Problema,Tiempo,Nodos
5,Simulated-annealing-joa-parallel,himmel16,16.3782140001,4632
1,Simulated-annealing-joa-parallel,ex2_1_7,9.93794100001,2452
2,Simulated-annealing-joa-parallel,ex2_1_7,9.11355200001,2406
3,Simulated-annealing-joa-parallel,ex2_1_7,9.15653500001,2448
4,Simulated-annealing-joa-parallel,ex2_1_7,9.75547300001,2664
5,Simulated-annealing-joa-parallel,ex2_1_7,9.20936700001,2412
1,Simulated-annealing-joa-parallel,ex2_1_8,7.35614400001,1522
2,Simulated-annealing-joa-parallel,ex2_1_8,8.20925200001,1638
3,Simulated-annealing-joa-parallel,ex2_1_8,7.69625400001,1710
4,Simulated-annealing-joa-parallel,ex2_1_8,8.16286200001,1734
5,Simulated-annealing-joa-parallel,ex2_1_8,7.27310100001,1642
1,Simulated-annealing-joa-parallel,launch,1.88530800001,122
2,Simulated-annealing-joa-parallel,launch,54.8452600001,12368
3,Simulated-annealing-joa-parallel,launch,2.61758200001,240
4,Simulated-annealing-joa-parallel,launch,6.08931800001,562
5,Simulated-annealing-joa-parallel,launch,4.46130500001,154
1,Simulated-annealing-joa-parallel,"hs088
",842.718422001,1360
2,Simulated-annealing-joa-parallel,"hs088
",723.159666001,1278
3,Simulated-annealing-joa-parallel,"hs088
",741.302039001,1360
4,Simulated-annealing-joa-parallel,"hs088
",937.819622001,1352
5,Simulated-annealing-joa-parallel,"hs088
",964.103766001,1364
1,Simulated-annealing-joa-parallel,"hs093
",765.874509001,456116
2,Simulated-annealing-joa-parallel,"hs093
",633.254574001,394440
3,Simulated-annealing-joa-parallel,"hs093
",661.703772001,402288
4,Simulated-annealing-joa-parallel,"hs093
",660.643647001,446948
5,Simulated-annealing-joa-parallel,"hs093
",635.748424001,445998
1,Simulated-annealing-joa-parallel,"hs102
",2371.96257901,895066
2,Simulated-annealing-joa-parallel,"hs102
",1930.38503501,898504
3,Simulated-annealing-joa-parallel,"hs102
",1796.96171401,887544
4,Simulated-annealing-joa-parallel,"hs102
",1896.54958201,898752
5,Simulated-annealing-joa-parallel,"hs102
",1913.05336501,905454
1,Simulated-annealing-joa-parallel,"hs103
",581.398556001,260422
2,Simulated-annealing-joa-parallel,"hs103
",574.487933001,260922
3,Simulated-annealing-joa-parallel,"hs103
",598.153548001,257332
4,Simulated-annealing-joa-parallel,"hs103
",519.534703001,246600
5,Simulated-annealing-joa-parallel,"hs103
",537.138722001,258374
1,Simulated-annealing-joa-parallel,"hs108
",72.4080750001,35644
2,Simulated-annealing-joa-parallel,"hs108
",79.2493910001,35144
3,Simulated-annealing-joa-parallel,"hs108
",73.1613340001,34068
4,Simulated-annealing-joa-parallel,"hs108
",73.7940690001,37494
5,Simulated-annealing-joa-parallel,"hs108
",69.2542990001,34744
1,Simulated-annealing-joa-parallel,"hs113
",8.31636600001,3248
2,Simulated-annealing-joa-parallel,"hs113
",8.24504000001,3110
3,Simulated-annealing-joa-parallel,"hs113
",8.64881300001,3530
4,Simulated-annealing-joa-parallel,"hs113
",7.76915800001,3310
5,Simulated-annealing-joa-parallel,"hs113
",7.36624800001,3088
1,Simulated-annealing-joa-parallel,"dualc5
",71.6211630001,53584
2,Simulated-annealing-joa-parallel,"dualc5
",72.4750800001,54868
3,Simulated-annealing-joa-parallel,"dualc5
",70.5589780001,54132
4,Simulated-annealing-joa-parallel,"dualc5
",74.7308570001,55330
5,Simulated-annealing-joa-parallel,"dualc5
",72.8468510001,54826
1,Simulated-annealing-joa-parallel,"dualc8
",288.073034001,189732
2,Simulated-annealing-joa-parallel,"dualc8
",283.996703001,188724
3,Simulated-annealing-joa-parallel,"dualc8
",281.452675001,186208
4,Simulated-annealing-joa-parallel,"dualc8
",283.622597001,187298
5,Simulated-annealing-joa-parallel,"dualc8
",281.808274001,187314
1,Simulated-annealing-joa-parallel,"mistake
",716.603230001,386642
2,Simulated-annealing-joa-parallel,"mistake
",753.552567001,403180
3,Simulated-annealing-joa-parallel,"mistake
",755.809486001,371620
4,Simulated-annealing-joa-parallel,"mistake
",712.226379001,381850
5,Simulated-annealing-joa-parallel,"mistake
",719.821073001,389952
1,Simulated-annealing-joa-parallel,"odfits
",26.3020520001,17380
2,Simulated-annealing-joa-parallel,"odfits
",26.1984390001,18034
3,Simulated-annealing-joa-parallel,"odfits
",26.9568220001,17988
4,Simulated-annealing-joa-parallel,"odfits
",26.7456120001,18022
5,Simulated-annealing-joa-parallel,"odfits
",28.5733290001,18106
1,Simulated-annealing-joa-parallel,ex2_1_9bis,94.5993110001,74760
2,Simulated-annealing-joa-parallel,ex2_1_9bis,95.0290140001,74762
3,Simulated-annealing-joa-parallel,ex2_1_9bis,97.4882010001,75330
4,Simulated-annealing-joa-parallel,ex2_1_9bis,96.2077040001,74984
5,Simulated-annealing-joa-parallel,ex2_1_9bis,96.6658100001,75700
